Date,Source,RegionSource,Target,RegionTarget,Valeur1,Valeur2,Valeur3,Valeur4,Valeur5,Valeur6,Valeur7,Valeur8,Valeur9,Valeur10,Valeur11,Valeur12,Valeur13,Valeur14,Valeur15,Valeur16,Valeur17,Valeur18,Valeur19
2018-01,TOULON,Provence-Alpes-Côte d'Azur,PARIS LYON,Île-de-France,273,241,0,113,9.696312684,4.131196581,42,42.43055556,7.002319902,42,7.002319902,24,8,38.46153846,28.20512821,7.692307692,20.51282051,0,5.128205128
2018-01,VALENCE ALIXAN TGV,Auvergne-Rhône-Alpes,PARIS LYON,Île-de-France,280,132,2,130,11.22217949,5.252158273,48,39.12465278,5.893585132,45,5.893585132,21,7,17.5,37.5,12.5,25,2.5,5
2018-01,ANGOULEME,Nouvelle Aquitaine,PARIS MONTPARNASSE,Île-de-France,270,125,4,135,5.710123457,2.971365915,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38461538,3.846153846,1.923076923
2018-01,LAVAL,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,208,86,0,84,7.287896825,3.016987179,55,16.56909091,5.044791667,19,5.044791667,5,2,16.12903226,35.48387097,19.35483871,22.58064516,3.225806452,3.225806452
2018-01,PARIS MONTPARNASSE,Île-de-France,VANNES,Bretagne,253,152,1,38,9.746929825,1.055026455,39,40.30769231,7.77281746,27,7.742094862,16,8,25.64102564,38.46153846,12.82051282,17.94871795,0,5.128205128
2018-01,RENNES,Bretagne,PARIS MONTPARNASSE,Île-de-France,599,99,4,238,7.589985994,3.0667507,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762
2018-01,NANTES,Pays de la Loire,STRASBOURG,Grand Est,39,303,0,22,2.835606061,1.664957265,5,32.98666667,5.741025641,5,5.741025641,2,1,0,0,33.33333333,33.33333333,0,33.33333333
2018-01,PARIS EST,Île-de-France,REIMS,Grand Est,218,45,1,34,5.491666667,0.79078341,21,12.04126984,1.435560676,6,1.435560676,0,0,18.75,12.5,6.25,18.75,43.75,0
2018-01,DOUAI,Hauts-de-France,PARIS NORD,Île-de-France,197,77,3,39,8.032905983,1.802920962,37,21.4009009,5.046907216,10,5.046907216,5,3,36.36363636,18.18181818,22.72727273,18.18181818,4.545454545,0
2018-01,PARIS VAUGIRARD,Île-de-France,BORDEAUX ST JEAN,Nouvelle Aquitaine,63,165,1,12,22.31805556,3.89327957,5,44.55,3.429569892,4,3.429569892,3,1,60,0,0,40,0,0
2018-01,AVIGNON TGV,Provence-Alpes-Côte d'Azur,PARIS LYON,Île-de-France,538,159,0,109,11.68730887,2.113475836,88,31.96856061,5.797924411,62,5.797924411,35,12,36.47058824,24.70588235,16.47058824,18.82352941,0,3.529411765
2018-01,MACON LOCHE,Centre-Val de loire,PARIS LYON,Île-de-France,225,99,1,153,11.77625272,8.031622024,49,26.26054422,6.021279762,38,6.021279762,10,1,16.21621622,27.02702703,32.43243243,21.62162162,2.702702703,0
2018-01,MARNE LA VALLEE,Île-de-France,LYON PART DIEU,Auvergne-Rhône-Alpes,335,109,9,212,12.49591195,8.241411043,59,45.52118644,8.487218814,43,8.487218814,29,17,31.25,31.25,12.5,18.75,6.25,0
2018-01,MARNE LA VALLEE,Île-de-France,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,323,217,6,181,12.37053407,7.174973712,49,44.03129252,8.152208202,49,8.152208202,22,10,46.66666667,16.66666667,6.666666667,20,6.666666667,3.333333333
2018-01,MONTPELLIER,Occitanie,PARIS LYON,Île-de-France,340,206,2,122,10.99180328,4.073619329,58,44.75574713,7.465581854,58,7.465581854,31,11,22,38,12,22,2,4
2018-01,PARIS LYON,Île-de-France,AIX EN PROVENCE TGV,Provence-Alpes-Côte d'Azur,424,186,0,49,10.28435374,0.906839623,47,36.9464539,4.340880503,44,4.340880503,21,5,33.33333333,37.77777778,11.11111111,17.77777778,0,0
2018-01,PARIS LYON,Île-de-France,GRENOBLE,Auvergne-Rhône-Alpes,262,180,0,40,9.715,1.226208651,40,34.38666667,6.618193384,32,6.618193384,15,8,15.38461538,25.64102564,28.20512821,28.20512821,2.564102564,0
2018-01,PERPIGNAN,Occitanie,PARIS LYON,Île-de-France,166,305,0,54,10.13395062,3.401506024,36,48.68425926,10.48413655,36,10.48413655,21,9,20.68965517,41.37931034,10.34482759,27.5862069,0,0
2018-01,LE MANS,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,406,56,1,213,8.479968701,4.567119342,105,18.04904762,5.363539095,32,5.363539095,9,4,20,35,16.66666667,16.66666667,8.333333333,3.333333333
2018-01,NANTES,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,525,128,3,193,7.294991364,2.720210728,84,33.48115079,7.225734355,56,7.225734355,29,11,37.33333333,26.66666667,21.33333333,4,9.333333333,1.333333333
2018-01,PARIS MONTPARNASSE,Île-de-France,ANGERS SAINT LAUD,Pays de la Loire,385,90,3,49,8.362585034,0.730104712,52,19.84358974,4.24943281,22,4.24943281,8,1,21.42857143,23.80952381,21.42857143,23.80952381,9.523809524,0
