Date,Source,RegionSource,Target,RegionTarget,Valeur1,Valeur2,Valeur3,Valeur4,Valeur5,Valeur6,Valeur7,Valeur8,Valeur9,Valeur10,Valeur11,Valeur12,Valeur13,Valeur14,Valeur15,Valeur16,Valeur17,Valeur18,Valeur19
2018-01,NANTES,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,525,128,3,193,7.294991364,2.720210728,84,33.48115079,7.225734355,56,7.225734355,29,11,37.33333333,26.66666667,21.33333333,4,9.333333333,1.333333333
2018-08,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,388,96,8,213,6.445461659,3.767324561,76,21.64736842,5.460219298,49,5.460219298,14,4,16.92307692,38.46153846,16.92307692,20,3.076923077,4.615384615
2018-09,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,369,97,0,191,5.587958115,3.030668473,41,22.58252033,4.142863595,20,4.142863595,9,1,19.44444444,25,27.77777778,13.88888889,13.88888889,0
2018-10,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,373,99,0,196,4.824064626,2.669571046,47,17.8751773,3.784182306,20,3.784182306,6,1,6.976744186,34.88372093,32.55813953,18.60465116,2.325581395,4.651162791
2018-11,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,371,96,8,184,5.99076087,3.167860422,66,20.16792929,5.050964187,26,5.050964187,11,3,13.1147541,36.06557377,36.06557377,11.47540984,0,3.278688525
2018-01,POITIERS,Nouvelle Aquitaine,PARIS MONTPARNASSE,Île-de-France,472,94,4,224,6.784672619,3.229700855,89,14.59269663,4.882371795,42,4.882371795,10,0,15.78947368,45.61403509,19.29824561,15.78947368,1.754385965,1.754385965
2018-01,QUIMPER,Bretagne,PARIS MONTPARNASSE,Île-de-France,256,223,1,9,16.33333333,0.579477124,21,39.0952381,5.940849673,21,5.917643229,9,2,27.77777778,55.55555556,0,5.555555556,5.555555556,5.555555556
2018-01,PARIS EST,Île-de-France,METZ,Grand Est,310,84,0,41,6.409349593,0.823548387,24,11.88888889,0.76,7,0.76,1,0,26.66666667,6.666666667,13.33333333,40,13.33333333,0
2018-01,PARIS LYON,Île-de-France,BELLEGARDE (AIN),Auvergne-Rhône-Alpes,231,160,2,34,5.780882353,0.563464338,64,36.38802083,11.86091703,49,11.86091703,24,10,40,25.45454545,25.45454545,5.454545455,3.636363636,0
2018-01,PARIS LYON,Île-de-France,LE CREUSOT MONTCEAU MONTCHANIN,Bourgogne-France-Comté,208,78,0,18,10.46574074,0.502804487,36,17.18009259,4.026282051,14,4.026282051,8,0,20,32,24,20,4,0
2018-01,PARIS LYON,Île-de-France,SAINT ETIENNE CHATEAUCREUX,Auvergne-Rhône-Alpes,112,168,0,13,9.105128205,0.653422619,21,25.95952381,5.868154762,14,5.868154762,5,2,16.66666667,38.88888889,22.22222222,16.66666667,5.555555556,0
2018-12,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,419,94,2,189,6.013932981,2.863589129,84,17.90238095,4.680055955,32,4.680055955,11,4,23.80952381,30.15873016,26.98412698,14.28571429,3.174603175,1.587301587
2019-01,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,450,94,1,172,10.19273256,4.072420193,70,42.58642857,7.049703044,37,7.049703044,25,12,30.35714286,33.92857143,19.64285714,14.28571429,0,1.785714286
2019-02,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,409,94,2,157,6.580467091,2.709254709,57,21.8505848,3.712653563,23,3.712653563,11,3,31.11111111,15.55555556,31.11111111,15.55555556,0,6.666666667
