Nom de la gare,Code UIC complet,Année,Total Voyageurs
Drap - Cantaron,87756775,2020,23792
Drusenheim,87212357,2020,86913
Dunkerque,87281006,2020,1241973
Ébersviller,87191379,2020,3283
Écommoy,87396564,2020,38701
Écouché,87444547,2020,285
Ecully - Tassin,87721506,2020,189080
Elbeuf - Saint-Aubin,87411173,2020,145887
Embrun,87763466,2020,60362
Épinay - Villetaneuse,87271122,2020,7045846
Épinay-sur-Orge,87545228,2020,1481071
Ermont - Eaubonne,87276055,2020,12380423
Ermont Halte,87276584,2020,566794
Étainhus - Saint-Romain,87413328,2020,42897
Étaples - Le Touquet,87317065,2020,268566
Faremoutiers - Pommeuse,87116277,2020,147640
Fenouillet - Saint-Alban,87611962,2020,14
Feuquières - Broquiers,87313742,2020,14701
Flers,87448001,2020,77154
Fleurville - Pont-de-Vaux,87725663,2020,11707
Flez-Cuzy - Tannay,87696633,2020,668
Foëcy,87576108,2020,21722
Fontainebleau - Avon,87682211,2020,2115327
Fontaines-d'Ozillac,87491159,2020,0
Fontan - Saorge,87756858,2020,2583
Fontenoy-sur-Moselle,87141051,2020,2672
Font-Romeu-Odeillo-Via,87784819,2020,40745
Fos-sur-Mer,87753442,2020,2941
Foucart - Alvimare,87413377,2020,2059
Fouday,87214734,2020,8789
Foug,87141036,2020,6301
Frasne,87715136,2020,133728
Fréjus,87757500,2020,103420
Frépillon,87276659,2020,193459
Frontenex,87741629,2020,17745
Frynaudour,87473876,2020,208
Gadagne,87765446,2020,4237
Gaillac,87615252,2020,230110
Gallargues-le-Montueux,87775130,2020,8776
Gambsheim,87212332,2020,154129
Gandrange - Amnéville,87191742,2020,1646
Gare routière de Digne les Bains,87751495,2020,3886
Gare routière de La-Voulte-sur-Rhône,87761544,2020,747
Gargan,87113860,2020,1723165
Gargenville,87381566,2020,194290
Gazeran,87393348,2020,157079
Gazinet Cestas,87582403,2020,242484
Geispolsheim,87212258,2020,36750
Gièvres,87576876,2020,46244
Gironde-sur-Dropt,87582858,2020,3107
Givet,87172130,2020,65458
Givors Canal,87722439,2020,56247
Goussainville,87276246,2020,2859060
Goxwiller,87214270,2020,19059
Gragnague,87615377,2020,16440
Gramat,87613059,2020,10952
Grande-Synthe,87281311,2020,7703
Grasse,87757724,2020,167249
Gravigny Balizy,87393645,2020,267679
Grenoble Universités - Gières,87747402,2020,441245
Gresswiller,87214593,2020,127933
Guignicourt,87171736,2020,120804
Habsheim,87182089,2020,161472
Hachette,87297523,2020,11
Halsou - Larressore,87673640,2020,1462
Ham,87313494,2020,94874
Ham-en-Artois,87342261,2020,2413
Harfleur,87413302,2020,3338
Haussmann Saint-Lazare,87281899,2020,26081433
Haute Picardie TGV,87313882,2020,197582
Hénin-Beaumont,87345157,2020,340543
Herrlisheim-près-Colmar,87182329,2020,46806
Hesdigneul-lès-Boulogne,87317107,2020,23801
Hirson Écoles,87324335,2020,32721
Hoelschloch,87213413,2020,15442
Hoerdt,87213686,2020,159685
Hombourg-Budange,87191353,2020,440
Houdemont,87141473,2020,6841
Houilles - Carrières-sur-Seine,87386409,2020,8495680
Hymont - Mattaincourt,87144220,2020,761
Igney,87144089,2020,12451
Ille-sur-Têt,87784561,2020,3518
Ingrandes-Le Fresne-sur-Loire,87484360,2020,37354
Issé,87481622,2020,14172
Issoire,87734202,2020,361776
Issy Val de Seine,87393306,2020,3184446
Jarnac,87491472,2020,22155
Jaunay-Clan,87575217,2020,16113
Jaux,87272013,2020,5339
Jeumont,87295014,2020,62713
Joncherey,87700153,2020,4860
Jonzac,87491142,2020,63126
Jouy-en-Josas,87393512,2020,453849
Juziers,87381558,2020,162386
Kédange,87191346,2020,2221
Kilstett,87212324,2020,69558
Kogenheim,87214114,2020,22068
Kurtzenhouse,87213660,2020,66860
La Bassée - Violaines,87342436,2020,194161
La Baule Les Pins,87481697,2020,23454
La Bourboule,87641464,2020,6258
La Bouteille,87297085,2020,2878
La Brillanne - Oraison,87751271,2020,12069
La Chaussée-Saint-Victor,87574251,2020,897
La Coquille,87592501,2020,10395
La Crau,87755611,2020,40643
La Ferté-sous-Jouarre,87116517,2020,955765
La Gorp,87584755,2020,73619
La Grande-Paroisse,87682476,2020,36281
La Grave d'Ambarès,87491274,2020,16470
La Guierche,87396036,2020,10322
La Hisse,87478156,2020,1385
La Levade,87775247,2020,448
La Méaugon,87473124,2020,803
La Mothe-Saint-Héray,87485508,2020,2267
La Pauline Hyères,87755314,2020,85658
La Réole,87582866,2020,149559
La Rochelle Porte Dauphine,87437798,2020,54398
La Roche-sur-Yon,87486019,2020,571734
La Suze-sur-Sarthe,87396366,2020,61010
La Trinité Victor,87756767,2020,29036
Labouheyre,87582551,2020,51758
Laigné - Saint-Gervais,87396556,2020,11899
Laigneville,87276204,2020,119811
L'Aiguille,87592634,2020,1852
Lalande Église,87611947,2020,0
Lalbenque - Fontanes,87613323,2020,12762
Lancey,87417501,2020,107318
Landas,87286575,2020,46040
Landaul - Mendon,87476226,2020,21482
Langeais,87571828,2020,149632
Langres,87142091,2020,46127
Laon,87296012,2020,525446
Lapeyrouse,87641043,2020,3137
Laroche - Migennes,87683268,2020,232343
Latour-de-Carol - Enveitg,87611483,2020,37219
Lavaveix-les-Mines,87597781,2020,23
Le Blanc-Mesnil,87271478,2020,2216337
Le Bourget,87271395,2020,8500671
Le Bousquet-d'Orb,87781583,2020,663
Le Bruel,87783548,2020,9
Le Cailar,87775825,2020,3148
Le Cateau-Cambrésis,87295220,2020,25360
Le Cendre - Orcet,87734160,2020,105780
Le Creusot,87694000,2020,99609
Le Genest-Saint-Isle,87478743,2020,13634
Le Grand-Lemps,87747220,2020,80000
Le Havre Graville,87413203,2020,512
Le Méridien La Ferrière,87721522,2020,124412
Le Merlerault,87444588,2020,17
Le Monastier-Pin-Moriès,87783308,2020,235
Le Plessis-Belleville,87271551,2020,378693
Le Pouliguen,87481762,2020,60000
Le Raincy - Villemomble - Montfermeil,87113472,2020,5204239
Le Soler,87784512,2020,1320
Le Theil-de-Bretagne,87471342,2020,12032
Le Val d'Or,87382366,2020,941461
Le Verdon-sur-Mer,87581389,2020,7964
Le Vernet d'Ariège,87611350,2020,4596
Les Abrets - Fitilieu,87741496,2020,2818
Les Bossons,87746768,2020,4024
Les Cabannes,87611574,2020,2726
Les Flachères,87721704,2020,1875
Leval,87295790,2020,2544
Lexos,87613489,2020,6112
Lezennes,87287102,2020,532
Lezoux,87734442,2020,58553
L'Herbergement - Les Brouzils,87486126,2020,64010
L'Hospitalet-près-l'Andorre,87611517,2020,6753
Liancourt - Rantigny,87276212,2020,183338
Liancourt-Saint-Pierre,87381210,2020,14353
Libercourt,87345256,2020,550226
Lillers,87342238,2020,124271
Limoges Montjovis,87592022,2020,11896
Lingolsheim,87214502,2020,51849
L'Isle-Adam - Parmain,87276527,2020,507445
Lisle-sur-Tarn,87615310,2020,61130
Livron-sur-Drôme,87761247,2020,41665
Loivre,87171728,2020,31268
Longjumeau,87393611,2020,262627
Longueville-sur-Scie,87415141,2020,21705
Loos lez Lille,87286112,2020,24225
Loos-en-Gohelle,87345033,2020,7080
Louhans,87713735,2020,19482
Louveciennes,87382457,2020,555213
Louvres,87276253,2020,1232733
Louvroil,87295535,2020,2513
Luc,87734368,2020,370
Lucé,87394015,2020,12514
Luc-en-Diois,87761874,2020,5810
Luçon,87486258,2020,26261
Lunel-Viel,87773424,2020,4838
Lunery,87576280,2020,506
Luzarches,87276576,2020,273474
Luzy,87696534,2020,18613
Lyon Gorge de Loup,87721175,2020,456395
Lyon Jean Macé,87282624,2020,817489
Lyon Saint-Exupéry TGV,87762906,2020,1117690
Lyon Vaise,87721001,2020,510839
Magny - Blandainville,87394429,2020,3076
Maillé,87575068,2020,14529
Maisse,87681486,2020,91378
Malaunay - Le Houlme,87411256,2020,58505
Marienthal,87213603,2020,41225
Marolles-en-Hurepoix,87545186,2020,788333
Marquise - Rinxent,87317339,2020,105312
Marquixanes,87784629,2020,659
Marsac,87597625,2020,3458
Marssac-sur-Tarn,87615419,2020,6516
Martigné-Ferchaud,87471367,2020,2406
Martigny-les-Bains,87144295,2020,5565
Massy - Verrières,87383281,2020,180706
Massy TGV,87393702,2020,1371156
Matzenheim,87214130,2020,32291
Mauzac-et-Grand-Castang,87584466,2020,169
Mehun-sur-Yèvre,87576116,2020,29672
Menars,87574244,2020,32
Mende,87783605,2020,23418
Mennecy,87681411,2020,528048
Meroux,87184408,2020,19146
Merrey,87142406,2020,0
Mertzwiller,87213207,2020,86344
Merxheim,87182725,2020,41381
Messein,87141499,2020,13747
Metz,87192039,2020,4687126
Metzeral,87182816,2020,45391
Meudon Val Fleury,87393082,2020,1582980
Miraumont,87342030,2020,12158
Mirecourt,87144212,2020,94684
Miribel,87723528,2020,193554
Moissac,87611889,2020,63551
Monaco-Monte-Carlo,87756403,2020,4085871
Montaignac-Saint-Hippolyte,87594135,2020,1507
Montataire,87276618,2020,25650
Montceau-les-Mines,87694620,2020,66643
Mont-Dore,87641472,2020,5245
Montélimar,87764001,2020,551860
Montfavet,87765412,2020,13386
Montferrand - Thoraise,87718106,2020,2317
Monthermé,87172056,2020,103013
Montlaur,87618207,2020,2656
Montlouis-sur-Loire,87571273,2020,14161
Mont-Notre-Dame,87171355,2020,0
Montpellier Saint-Roch,87773002,2020,4220874
Montrabé,87611848,2020,34704
Montreuil,87382879,2020,1217688
Montreux-Vieux,87184275,2020,56853
Montroc le Planet,87746867,2020,2607
Monts,87575035,2020,78777
Montsoult - Maffliers,87276493,2020,816410
Moosch,87182592,2020,34358
Morbier,87715433,2020,5674
Morez,87715441,2020,20859
Morgny-la-Pommeraye,87411439,2020,19899
Morhange,87192286,2020,67681
Morières-lès-Avignon,87765420,2020,17394
Mortcerf,87116244,2020,84648
Morteau,87718619,2020,123601
Moulins sur Allier,87696328,2020,465073
Moûtiers - Salins - Brides-les-Bains,87741728,2020,243632
Moyeuvre-Grande,87191718,2020,21202
Mulhouse,87182063,2020,3408899
Mulhouse Zu Rhein,87472639,2020,0
Naintré,87575175,2020,20569
Nerpuy,87575167,2020,3618
Neufchâtel-Hardelot,87317099,2020,10591
Neuvic,87595272,2020,31255
Neuville Université,87334482,2020,1563585
Neuville-sur-Sarthe,87396028,2020,6595
Nieppe,87287151,2020,53280
Nogent-le-Rotrou,87394296,2020,376474
Noizay,87574368,2020,2881
Nomain,87286609,2020,1100
Nouzonville,87172023,2020,20182
Novéant-sur-Moselle,87192427,2020,99185
Noyelles-sur-Mer,87317396,2020,60948
Noyen-sur-Sarthe,87396374,2020,17647
Olette - Canaveilles,87784728,2020,1991
Onzain - Chaumont-sur-Loire,87574319,2020,135772
Orange,87765107,2020,218227
Orchies,87286583,2020,719981
Orgerus - Béhoust,87393447,2020,122597
Orgon,87753707,2020,12057
Ossès - Saint-Martin-d'Arrossa,87673707,2020,3342
Ossun,87671313,2020,53
Ourscamps,87276774,2020,2220
Ozoir-la-Ferrière,87116020,2020,1317727
Paimpol,87473868,2020,52778
Paris Gare du Nord,87271007,2020,131685210
Paulhaguet,87734293,2020,963
Pavilly,87411272,2020,130501
Penthièvre,87476424,2020,833
Péreire - Levallois,87381012,2020,2462813
Pessac,87581751,2020,599821
Petit Jouy - Les Loges,87393504,2020,100702
Pierrefitte - Stains,87271163,2020,5425884
Pignans,87755389,2020,17198
Pihen-lès-Guînes,87316679,2020,429
Pins-Justaret,87618116,2020,88021
Plancoët,87473272,2020,8772
Plénée-Jugon,87473082,2020,8451
Plerguer,87478123,2020,116
Pleyber-Christ,87474320,2020,2213
Poissy,87386573,2020,5898598
Pomas,87615146,2020,642
